title,lessons,rating,link
Frameworks for Effective Problem Solving,18 Lessons,,/courses/frameworks-for-effective-problem-solving
Anyone can Build AI Agents - Free Course,5 Lessons,,/courses/your-ultimate-guide-to-becoming-an-agentic-ai-expert-by-2025
A Comprehensive Learning Path to Become a Data Analyst in 2025,298 Lessons,,/courses/a-comprehensive-learning-path-to-become-a-data-analyst-in-2025
Reimagining GenAI: Common Mistakes and Best Practices for Success,6 Lessons,,/courses/reimagining-genai-common-mistakes-and-best-practices-for-success
Coding a ChatGPT-style Language Model from Scratch in PyTorch,7 Lessons,,/courses/coding-a-chatgpt-style-language-model-from-scratch-in-pytorch
Mastering Multilingual GenAI Open-Weights for Indic Languages,9 Lessons,,/courses/mastering-multilingual-genai-open-weights-for-indic-languages
Learning Autonomous Driving Behaviors with LLMs & RL,6 Lessons,,/courses/learning-autonomous-driving-behaviors-with-llms-and-rl
GenAI Applied to Quantitative Finance: For Control Implementation,5 Lessons,,/courses/genai-applied-to-quantitative-finance-for-control-implementation
"Navigating LLM Tradeoffs: Techniques for Speed, Cost, Scale & Accuracy",6 Lessons,,/courses/navigating-llm-tradeoffs-techniques-for-speed-cost-scale-and-accuracy
Creating Problem-Solving Agents using GenAI for Action Composition,6 Lessons,,/courses/creating-problem-solving-agents-using-genai-for-action-composition
Improving Real World RAG Systems: Key Challenges & Practical Solutions,12 Lessons,,/courses/improving-real-world-rag-systems-key-challenges
Framework to Choose the Right LLM for your Business,6 Lessons,,/courses/choosing-the-right-LLM-for-your-business
Building Smarter LLMs with Mamba and State Space Model,14 Lessons,,/courses/building-smarter-llms-with-mamba-and-state-space-model
Generative AI - A Way of Life - Free Course,31 Lessons,,/courses/genai-a-way-of-life
Building LLM Applications using Prompt Engineering - Free Course,18 Lessons,,/courses/building-llm-applications-using-prompt-engineering-free
Building Your First Computer Vision Model - Free Course,7 Lessons,,/courses/building-your-first-computer-vision-model
Bagging and Boosting ML Algorithms - Free Course,16 Lessons,,/courses/bagging-boosting-ML-Algorithms
MidJourney: From Inspiration to Implementation - Free Course,5 Lessons,,/courses/midjourney_from_inspiration_to_implementation
Understanding Linear Regression - Free Course,10 Lessons,,/courses/free-understanding-linear-regression
The Working of Neural Networks - Free Course,11 Lessons,,/courses/the-working-of-neural-networks
The A to Z of Unsupervised ML - Free Course,13 Lessons,,/courses/free-unsupervised-ml-guide
Building Your first RAG System using LlamaIndex - Free Course,12 Lessons,,/courses/building-first-rag-systems-using-llamaindex
Data Preprocessing on a Real-World Problem Statement - Free Course,13 Lessons,,/courses/data-preprocessing
Exploring Stability.AI - Free Course,7 Lessons,,/courses/exploring-stability-ai
Building a Text Classification Model with Natural Language Processing - Free Course,16 Lessons,,/courses/free-building-textclassification-natural-language-processing
Getting Started with Large Language Models,18 Lessons,,/courses/getting-started-with-llms
Introduction to Generative  AI,9 Lessons,,/courses/introduction-to-generative-ai
Exploring Natural Language Processing (NLP) using Deep Learning,79 Lessons,,/courses/exploring-natural-language-processing-nlp-using-deep-learning
Getting Started with Deep Learning,299 Lessons,,/courses/getting-started-with-deep-learning
Nano Course: Dreambooth-Stable Diffusion for Custom Images,13 Lessons,,/courses/nano-course-dreambooth-stable-diffusion-for-custom-images
A Comprehensive Learning Path for Deep Learning in 2023,72 Lessons,,/courses/a-comprehensive-learning-path-for-deep-learning-in-2023
A Comprehensive Learning Path to Become a Data Scientist in 2024,389 Lessons,,/courses/a-comprehensive-learning-path-to-become-a-data-scientist-in-twenty-twenty-four
Nano Course: Building Large Language Models for Code,10 Lessons,,/courses/building-large-language-models-for-code
Nano Course: Cutting Edge LLM Tricks,12 Lessons,,/courses/cutting-edge-llm-tricks
Certified AI & ML BlackBelt+ Program,,,/bundles/certified-ai-ml-blackbelt-plus
Machine Learning Summer Training,263 Lessons,,/courses/machine-learning-summer-training
AI Ethics by Fractal,5 Lessons,,/courses/ai-ethics-fractal
A Comprehensive Learning Path to Become a Data Engineer in 2022,204 Lessons,,/courses/a-comprehensive-learning-path-to-become-a-data-engineer-in-2022
Certified Business Analytics Program,,,/bundles/certified-business-analytics-program
Certified Machine Learning Master's Program (MLMP),,,/bundles/certified-machine-learning-master-s-program-mlmp
Certified Natural Language Processing Master’s Program,,,/bundles/certified-natural-language-processing-master-s-program
Certified Computer Vision Master's Program,,,/bundles/certified-computer-vision-masters-program
Applied Machine Learning - Beginner to Professional,612 Lessons,,/courses/applied-machine-learning-beginner-to-professional
